Model,SMOTE,Accuracy,Sensitivity,Precision,F1,ROC_AUC,PR_AUC
Logistic Regression,0.3,0.857,0.0,0.0,0.0,0.567,0.161
Logistic Regression,0.5,0.825,0.023,0.051,0.031,0.57,0.164
Logistic Regression,0.75,0.73,0.255,0.176,0.207,0.566,0.16
Logistic Regression,1.0,0.574,0.567,0.173,0.263,0.572,0.163
Random Forest,0.3,0.858,0.012,0.167,0.035,0.666,0.245
Random Forest,0.5,0.822,0.161,0.262,0.198,0.689,0.246
Random Forest,0.75,0.801,0.15,0.207,0.174,0.669,0.244
Random Forest,1.0,0.782,0.276,0.246,0.26,0.669,0.246
XGBoost,0.3,0.863,0.0,NA,NA,0.705,0.38
XGBoost,0.5,0.863,0.0,NA,NA,0.692,0.378
XGBoost,0.75,0.806,0.358,0.325,0.335,0.69,0.374
XGBoost,1.0,0.681,0.528,0.224,0.314,0.699,0.38
